# ATENCAO: todos os fluxos deste arquivo sao SUPOSICOES; nao sao dados reais da Amanda nem das empresas citadas.
# O caso central reaproveita tickets, cadencias e dispersoes sinteticas de motor/arquetipos.py.
# Os casos baixo e alto aplicam 0,5x e 2,0x ao volume central; esses multiplicadores nao vieram de dados observados.
# Wise, Nomad, AstroPay e BCB sao referencias publicas de escala, nao fontes do fluxo projetado.
# Cada Ordem continua sendo a posicao liquida que o cliente decidiu enviar; nao ha autonetting adicional.
cenario_custo,nome_mix,n_clientes,janela_dias,horizonte_dias,cenario_fluxo,descricao_custo,descricao_fluxo,multiplicador_fluxo,natureza_do_fluxo,n_sementes,volume_anual_central_brl_p10,volume_anual_central_brl_p50,volume_anual_central_brl_p90,volume_anual_assumido_brl_p10,volume_anual_assumido_brl_p50,volume_anual_assumido_brl_p90,economia_bps_escala_assumida_p10,economia_bps_escala_assumida_p50,economia_bps_escala_assumida_p90,economia_anual_assumida_brl_p10,economia_anual_assumida_brl_p50,economia_anual_assumida_brl_p90,fracao_economia_positiva
base_hipotetica,equilibrado,8,1,365,baixo_0_5x,Hipoteses atuais do modelo; ainda nao calibradas.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,115.741241,127.180322,137.589098,1820506.215057,2121740.378529,2442873.347107,1.000000
base_hipotetica,equilibrado,8,1,365,central_1_0x,Hipoteses atuais do modelo; ainda nao calibradas.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,114.664591,126.211607,136.512447,3607732.438092,4205000.746625,4850666.677924,1.000000
base_hipotetica,equilibrado,8,1,365,alto_2_0x,Hipoteses atuais do modelo; ainda nao calibradas.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,114.126266,125.721580,136.005552,7182184.884161,8371521.482816,9666253.339558,1.000000
sem_spread,equilibrado,8,1,365,baixo_0_5x,Retira integralmente o spread evitado.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,96.851915,107.316096,116.857482,1530044.319106,1784051.105290,2076806.557105,1.000000
sem_spread,equilibrado,8,1,365,central_1_0x,Retira integralmente o spread evitado.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,95.799256,106.248981,115.760344,3027728.651547,3533097.546389,4116734.606564,1.000000
sem_spread,equilibrado,8,1,365,alto_2_0x,Retira integralmente o spread evitado.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,95.272927,105.715424,115.197760,6021767.681931,7030897.423656,8196469.220179,1.000000
sem_tarifa_fixa,equilibrado,8,1,365,baixo_0_5x,Retira integralmente a tarifa fixa evitada.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,113.596761,125.216508,135.498647,1787226.296235,2083260.659068,2407793.178406,1.000000
sem_tarifa_fixa,equilibrado,8,1,365,central_1_0x,Retira integralmente a tarifa fixa evitada.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,113.596761,125.216508,135.498647,3574452.592470,4166521.318136,4815586.356811,1.000000
sem_tarifa_fixa,equilibrado,8,1,365,alto_2_0x,Retira integralmente a tarifa fixa evitada.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,113.596761,125.216508,135.498647,7148905.184940,8333042.636271,9631172.713623,1.000000
iof_incerto_zero,equilibrado,8,1,365,baixo_0_5x,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,56.021988,65.450652,74.958194,899668.648127,1089811.982453,1298769.317756,1.000000
iof_incerto_zero,equilibrado,8,1,365,central_1_0x,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,54.924641,64.400314,73.845923,1763097.289549,2144503.959740,2560890.869226,1.000000
