# ATENCAO: todos os fluxos deste arquivo sao SUPOSICOES; nao sao dados reais da Amanda nem das empresas citadas.
# O caso central reaproveita tickets, cadencias e dispersoes sinteticas de motor/arquetipos.py.
# Os casos baixo e alto aplicam 0,5x e 2,0x ao volume central; esses multiplicadores nao vieram de dados observados.
# Wise, Nomad, AstroPay e BCB sao referencias publicas de escala, nao fontes do fluxo projetado.
# Cada Ordem continua sendo a posicao liquida que o cliente decidiu enviar; nao ha autonetting adicional.
cenario_fluxo,multiplicador_fluxo,descricao_cenario,arquetipo,referencia_descritiva,ticket_mediana_brl,ticket_sigma,cadencia_mensal,fluxo_anual_central_brl,fluxo_anual_assumido_brl,formula_central,natureza_do_fluxo
baixo_0_5x,0.500000,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",remessa_outbound_massiva,Wise/servicos de remessa,15000.00,0.600000,40.000000,8619965.01,4309982.51,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
central_1_0x,1.000000,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,remessa_outbound_massiva,Wise/servicos de remessa,15000.00,0.600000,40.000000,8619965.01,8619965.01,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
alto_2_0x,2.000000,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",remessa_outbound_massiva,Wise/servicos de remessa,15000.00,0.600000,40.000000,8619965.01,17239930.03,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
baixo_0_5x,0.500000,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",psp_inbound,AstroPay/PSPs,500000.00,0.800000,3.000000,24788299.76,12394149.88,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
central_1_0x,1.000000,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,psp_inbound,AstroPay/PSPs,500000.00,0.800000,3.000000,24788299.76,24788299.76,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
alto_2_0x,2.000000,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",psp_inbound,AstroPay/PSPs,500000.00,0.800000,3.000000,24788299.76,49576599.52,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
baixo_0_5x,0.500000,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",cripto_native_sem_fiat,plataformas cripto,200000.00,1.000000,15.000000,59353965.75,29676982.87,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
central_1_0x,1.000000,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,cripto_native_sem_fiat,plataformas cripto,200000.00,1.000000,15.000000,59353965.75,59353965.75,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
alto_2_0x,2.000000,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",cripto_native_sem_fiat,plataformas cripto,200000.00,1.000000,15.000000,59353965.75,118707931.49,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
baixo_0_5x,0.500000,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",payroll_fornecedor,plataformas de folha e fornecedores,800000.00,0.500000,4.000000,43512900.60,21756450.30,mediana_ticket * exp(sigma^2/2) * cadencia_mensal * 12,SUPOSICAO SINTETICA; substituir quando houver dado real
